,logFC,AveExpr,t,P.Value,adj.P.Val,B
KLF12,0.397581834089238,8.9122869527483,4.21967991176253,3.55955825875782e-05,0.000175753189026167,1.76918642656877
CD74,0.316463937492801,13.9019630631934,4.19312860053587,3.96854828565152e-05,0.000188147773377325,1.66689755017804
RETN,-1.01780769631468,8.92317990657879,-4.18823034900262,4.04874955368928e-05,0.000188147773377325,1.64808709967501
TRAPPC6B,-0.289160546618162,6.23670163066816,-4.12635496078484,5.20493287458169e-05,0.000234965541195402,1.41208722012916
MAPK1,-0.247089804197673,10.4574572434947,-3.99828217590309,8.67476760713888e-05,0.000380725911646651,0.933188554441592
SEC61A1,0.168668923274998,11.751220910375,3.95073778334188,0.00010453010372252,0.000436307232548509,0.758725839499986
MPO,-0.724288818082918,7.75278084162291,-3.94974826694676,0.000104934650866097,0.000436307232548509,0.755114047851545
VPREB3,0.699742636459414,10.8853275117808,3.93728195762821,0.000110160395920356,0.000446290834754263,0.70967854231486
LRPPRC,0.209876814081099,9.12000968478062,3.92371968419458,0.000116125929401204,0.000458697421134757,0.660390251283123
PLXDC1,0.144745465350772,6.90051319091895,3.85498522053742,0.000151379857502397,0.000583366280131188,0.412871200836949
ARRB2,-0.22054182523079,8.54605614094939,-3.84382467022532,0.000157984717242213,0.000594323460101657,0.373041169264301
DEFA4,-1.05382022379591,9.03438114338531,-3.81714799416298,0.000174895594511076,0.000642639626343023,0.278245992272646
OLR1,-0.663243585600158,6.87395356772809,-3.77400104112408,0.000205923421555404,0.000739452286494404,0.126148559163507
SP110,-0.260496257725302,11.7566757099772,-3.75725223279506,0.000219315853829301,0.000770042331222879,0.0675162827389864
YY1,-0.220986802113231,11.0269005214971,-3.65492294563045,0.000320778197816225,0.0011018033751079,-0.285711164422795
BRD9,0.122165517700067,8.18244521654688,3.64627436399258,0.00033113071162142,0.00111250044483994,-0.315169828005857
ELANE,-0.902389174579331,9.38049329591914,-3.63363740334467,0.00034682471113627,0.00111250044483994,-0.35810246170246
SIRPD,-0.334479750857247,8.19728331468021,-3.63071476985464,0.000350552790472061,0.00111250044483994,-0.3680129640723
FCRLA,0.429621809736612,11.6241379711753,3.62954374193077,0.000352057102797451,0.00111250044483994,-0.371981876392068
SCD,-0.353262047192192,8.82549646470898,-3.61482927227981,0.000371484890688477,0.00115087475938783,-0.421756160072746
MLST8,0.124922738889969,8.46777844646451,3.50120139209275,0.000559245253327405,0.0016992451928025,-0.800057444167156
UBAP2L,-0.197685861253092,10.3293175299953,-3.47135651992927,0.000621633167168523,0.00185317057382314,-0.897630155702418
BTN3A2,0.212963898091109,10.6575318951629,3.36176366546295,0.000911115758374642,0.00266585721894803,-1.24948694231405
HLA-DQA1,0.406385768579292,12.4969499274721,3.35133677569851,0.000944398090609824,0.0027129981512064,-1.28243363561313
SURF6,0.167217251129171,9.94925279248462,3.31919682741205,0.0010542585358567,0.00297451515473855,-1.38340710719776
MYL5,0.244212648956839,7.21792494092149,3.30762751557598,0.00109663747886563,0.00303980213439946,-1.41953881963523
TCN1,-0.613761831332814,9.62520614135251,-3.26858163778467,0.00125165825041059,0.00340968971663573,-1.54063782267695
VNN2,-0.475251159063757,12.7644924578339,-3.17717304504004,0.00169762142052642,0.00454617261768092,-1.81902471865961
CTSG,-0.688986661892622,8.12265336205735,-3.06118794812618,0.00247500915435676,0.00651752410647281,-2.16187302649147
RPL36AL,-0.246477046543428,13.0660815860444,-3.05498273337522,0.0025246643857144,0.00653929463840779,-2.17988606434206
IFITM3,-0.422615530460967,14.7257906698223,-3.037175623398,0.0026722981048722,0.00681005000919045,-2.23139161946567
AZU1,-0.554473016186139,7.48704230220665,-3.00151306634224,0.00299211759225919,0.00750404094566592,-2.33370958606467
LGALS9,-0.261979963328279,9.27668792374212,-2.98251328510095,0.00317651594817203,0.0078420237470497,-2.3877665095855
TTLL1,0.114896855448222,7.32056769412119,2.97056153543086,0.00329779460212781,0.00801617764824913,-2.42160863871427
UBE2F,-0.204370572047796,11.8029945872032,-2.86213811437195,0.00460825375095753,0.0110318801916862,-2.72287242882628
GRWD1,0.184878869600739,9.27500606169573,2.84596472859638,0.00484011232547131,0.0113546570459698,-2.76692152069941
ADSS,-0.143367644922511,9.88227234913838,-2.84259558407845,0.00488972925683711,0.0113546570459698,-2.77606839070591
FAM65A,0.162766550544835,10.5656739060979,2.83796498589064,0.00495867934286025,0.0113546570459698,-2.78862354768407
VPS11,0.0934184173101186,8.33247159268518,2.80097528199449,0.00554204249623452,0.0125091816343579,-2.88823201561261
XRCC5,0.133968081208561,10.6381377386508,2.77752687396418,0.00594344800005417,0.0130854097964738,-2.95074536340326
HIST1H2AC,-0.328702859201797,11.7656259145411,-2.77642343485237,0.00596297155282351,0.0130854097964738,-2.95367506165326
PPIG,-0.182468976379318,6.84929570626268,-2.74408080057744,0.00656170237944434,0.0142020407664686,-3.03906428883722
BIRC3,0.196797784277494,11.3060748732599,2.70251642088822,0.00741089836258442,0.0158232694768694,-3.1474276685977
MED14,0.0922707549703036,8.61579766439319,2.65194951688751,0.00857711923658046,0.0180691311917295,-3.27717371332741
PSMC1,-0.100708890149242,12.4571946897722,-2.57014154839868,0.0108165488893768,0.0223613790186751,-3.48220508476661
CYBA,-0.137833184410304,14.7708058888991,-2.56747503555244,0.0108976340787214,0.0223613790186751,-3.48878633458042
ZBTB44,-0.224885963412401,8.69743140326239,-2.51860333240749,0.0124832440901068,0.0252865713620112,-3.60826635618365
LMO2,-0.235571888537108,11.1256354147431,-2.43421222920627,0.0157101978709527,0.0314203957419054,-3.80947380369999
DIS3L,0.154492589775267,10.0800471405028,2.3549647060781,0.0193918568492251,0.0382469005893175,-3.99249829334903
NCOA3,-0.0701244773595187,8.82635673903398,-2.35074558431894,0.019607588276802,0.0382469005893175,-4.00208114091481
TMF1,-0.0836496419606989,7.22296488355921,-2.34271225938659,0.020024187611698,0.0385831907640035,-4.02028196599315
STAG3,-0.174481433794462,6.63323395364046,-2.30356683464626,0.0221674339858674,0.0418107257035781,-4.10812369703192
USPL1,0.150860029622542,9.46830684040172,2.3025011668326,0.0222284870829149,0.0418107257035781,-4.11049532710004
CDYL2,-0.100424333504193,6.93728595291132,-2.2962221986754,0.0225912125962969,0.04199307753194,-4.12444785562064
ACRC,-0.113923928710012,7.42867130540213,-2.24990046681676,0.025430821876714,0.0467217425176838,-4.22625645198851
GGA2,0.16462966576674,10.1345737980912,2.22406184676702,0.0271461039577018,0.0492998209806539,-4.2821852075443
SNURF,0.0954680029272358,8.44585244313885,2.17328222776172,0.0308117255101716,0.0553210526205354,-4.39029896764748
ARHGEF1,0.100807392696919,9.56434962201791,2.14154496901934,0.0333138222100237,0.0591413922380195,-4.45665529049673
IRF2BP2,0.0898714594501614,9.37212888617679,1.97312542525497,0.049715585500761,0.0869576984203785,-4.79307475875948
CUL4B,-0.102127512174398,8.07750041462512,-1.96993026097139,0.050083231368699,0.0869576984203785,-4.79920057299056
ZNF653,0.167925211773765,9.14048118717786,1.91388857259972,0.0569138145494086,0.0977432902044191,-4.905084860625
HERC6,-0.277619929611354,9.93362259255502,-1.84911381347763,0.065764030386155,0.111728137645296,-5.02378467597248
EWSR1,-0.135272295823543,10.5008479632513,-1.77901203152824,0.0765990407449837,0.128751579124547,-5.14778010888847
API5,0.0880002294146308,10.5895973646294,1.76436288347357,0.0790390522311175,0.131454423710701,-5.1731035020853
NIPBL,-0.125101837393653,7.44585749024315,-1.75705444943742,0.0802799614825233,0.132127436606653,-5.18566119565531
TACC3,-0.0960272257027848,10.3630028109559,-1.71331965636077,0.0880425710886879,0.143409548783636,-5.25974860271083
CD38,-0.249314508030806,10.1857640919003,-1.68595883131351,0.0932014036177029,0.150263487465276,-5.30517366809063
PRB3,0.039803182676858,6.46410021290997,1.62879449102782,0.104767448519854,0.167204614809464,-5.39777806005382
CD37,0.11156902492631,12.6055082484085,1.58751732112163,0.113811448632659,0.179822088839601,-5.46270691271728
BANF1,0.0785198624317902,10.2397842942883,1.53096811909763,0.127193670374476,0.198976236823438,-5.54901306908141
ZNF787,-0.0746768288255687,10.3949367061333,-1.48634948454988,0.138598200210234,0.213104688541789,-5.61494758042631
PABPN1,0.0598273228457208,10.9480450448549,1.48165459190842,0.139842933622203,0.213104688541789,-5.62177428175809
HMBS,-0.275541193724206,8.91631834251049,-1.48004583949962,0.140271440559152,0.213104688541789,-5.62410865002267
NOP14,0.086286763561353,8.13861653847889,1.44268305765,0.150511949605019,0.225657727348405,-5.67762398548171
PEX6,0.101222671630107,8.52877564922415,1.43473323395249,0.152763129057653,0.225657727348405,-5.68883745289186
IWS1,-0.0729427820747884,9.7716923515047,-1.43453763557845,0.152818840672654,0.225657727348405,-5.68911258384485
LYL1,0.135799463878164,13.4926328347904,1.40777124567675,0.160590342201552,0.234937722850419,-5.72641515301544
CCDC6,0.0592802739437473,10.939163945383,1.33213773969529,0.184173830846263,0.266967571318436,-5.82808810729396
LPAR3,-0.0607825849707662,6.9721753169411,-1.3182859282631,0.188759494773106,0.271127274310461,-5.84611064268446
N4BP2L1,0.070797286527126,8.88672985725822,1.29438555009802,0.19687016054215,0.280229597888826,-5.87677125099253
ZNF695,-0.0394130340582275,6.06632760263127,-1.21037400169796,0.227415915738406,0.320818881130966,-5.98015773648695
MYO9B,-0.0687851153038389,10.1097516404208,-1.19298567384672,0.234141890921631,0.324876944758473,-6.00070162818623
CLEC12A,0.173327281910754,10.4986047217738,1.19231306342862,0.234404884192823,0.324876944758473,-6.0014904067069
TWSG1,-0.0388724041271061,8.02316059101496,-1.13694976183161,0.256778706171666,0.352791613696723,-6.06490910686557
ARPC1B,-0.0837310609047373,12.0600118262699,-1.11483692518643,0.266119539698182,0.362473166140628,-6.08940673562819
MIR106A,-0.0520315478176958,6.83709496184442,-1.10443983250691,0.270591862468816,0.365414651880966,-6.10076069363393
TMEM101,0.0423958009597254,10.0133921525273,1.06387385789159,0.288535726628457,0.38634444751946,-6.14405362568319
HLA-DRB4,0.161539650401367,10.5575630240009,1.04681634018317,0.296316844037646,0.390734973082614,-6.16177898666969
ROGDI,-0.0911512107982351,7.99149645140532,-1.04065999421772,0.29915958139016,0.390734973082614,-6.16810670809584
ZNF622,0.0389516577809609,10.6542822518209,1.03922612400203,0.299824303308707,0.390734973082614,-6.16957518707376
BAZ2A,0.0675551406269517,7.19955945008865,1.03517704057424,0.301706751367588,0.390734973082614,-6.17371117641793
HOXA6,-0.0440981447634515,6.94828931898585,-1.00866440721923,0.314228083586981,0.40364257891661,-6.20039764489859
CD8B,0.0644361232469527,6.96266244354772,0.946296111331324,0.345021141615027,0.439623712703019,-6.26046881085739
ARHGAP15,0.0387479430266565,12.5539108106784,0.908957341974286,0.36435330560883,0.460542578289561,-6.29461289650283
TUBB1,0.130908303015484,11.9806736224946,0.897616746915462,0.370357339397916,0.464416346229133,-6.30471314748612
ARHGEF7,-0.0318245518234606,6.02982120577432,-0.848905188291292,0.396843803059721,0.493711188058551,-6.34666493797515
JARID2,-0.0478529459860909,10.5409400922092,-0.795560752684056,0.427132824072827,0.527242079714896,-6.38993908681072
CSTB,-0.0429065706945386,13.0412995982288,-0.751391449184069,0.453208817288454,0.555092970012215,-6.42365738412551
PPP1CA,0.0267154576020947,10.9492592740896,0.645023687573262,0.519574434060166,0.631482773703894,-6.49699155807361
MS4A3,-0.0924301384122173,6.91489958899953,-0.605799915956222,0.54526330965056,0.657645823853347,-6.52122538406824
MYB,0.0463898391901854,9.03886961538925,0.585053147004186,0.559103100408862,0.669229468671214,-6.53343095048536
KLRD1,0.070102190479053,10.8713968958511,0.495386688535,0.620814666399689,0.73463574302964,-6.58130495911268
RNASE3,0.112673605680987,8.32144601812089,0.492223153470015,0.6230455035821,0.73463574302964,-6.58284923851434
PALMD,-0.0144179463114602,6.2606547085214,-0.438109076759351,0.661731013559161,0.774470371424796,-6.60773602856919
SUSD5,-0.0248251101639928,7.28795616749982,-0.421011202623488,0.674152110508991,0.783206128385446,-6.61499843937263
SOCS7,-0.0115444140839494,6.50422776202131,-0.384625178219057,0.700881443826041,0.804307256716459,-6.62949289205959
TRIM38,-0.0266394668656601,10.9203400574719,-0.379486276351563,0.704687678394037,0.804307256716459,-6.63143461821618
