,logFC,AveExpr,t,P.Value,adj.P.Val,B
IFITM3,0.824462331969269,14.9601508284398,7.15837519815177,2.53446985812591e-11,2.22470131991052e-10,15.333962915419
HIST1H2BD,0.940470039961752,10.3767478456605,7.09012758534447,3.70256085684186e-11,3.07897165990008e-10,14.9653625331975
RPLP0,-0.669052249104512,11.1137265068332,-7.04337718535304,4.7952584971432e-11,3.78825421274313e-10,14.7139409540835
FCRLA,-0.905181163887235,11.3407857443729,-6.95497635043462,7.80108144132536e-11,5.86938508442575e-10,14.2409543241586
VPREB3,-1.12080510151178,10.6616295838001,-6.81158844383233,1.70623378897788e-10,1.22538608481139e-09,13.4806814402768
LRPPRC,-0.349404779386323,9.04401018638415,-6.78883119316364,1.93038015374022e-10,1.3203357667797e-09,13.3608221285769
SEC61A1,-0.321151913379653,11.6629985870603,-6.78177751374062,2.00557331662739e-10,1.3203357667797e-09,13.3237167557803
FAM3A,-0.347164539006757,11.6078167569924,-6.69752169415597,3.16058384669763e-10,1.9974889911129e-09,12.8821714013596
RPS6KB2,-0.296952539598241,10.2346192795599,-6.68732762781155,3.33869808698319e-10,2.02890114516671e-09,12.8289606155583
ARHGEF11,0.575251402173296,7.59164056272654,6.55468002192179,6.78596870404649e-10,3.90229714789151e-09,12.1408100580049
HLA-DOA,-0.575040104099534,9.98934201406327,-6.55112496944967,6.9154633000609e-10,3.90229714789151e-09,12.1224767804569
SIRPD,0.584281455564979,8.33686073055046,6.53053817497731,7.71459216021621e-10,4.20312262522125e-09,12.0164253959578
KLF12,-0.689768455930937,8.7495673129581,-6.51984547992663,8.16483892758243e-10,4.30014850186008e-09,11.9614196612658
HLA-DMA,-0.446351129878132,12.8364011877164,-6.38682814022258,1.64638610244541e-09,8.39125819956049e-09,11.2816004386408
MPO,1.01558767291144,7.88709387261447,6.23180718843273,3.6900212083713e-09,1.82194797163333e-08,10.4999731230282
DEFA4,1.55683538324546,9.2830717073458,6.17365096206458,4.98017590322795e-09,2.38444785669702e-08,10.2097803994265
ARRB2,0.391436823909188,8.64224928962892,6.13298579836397,6.13587305119885e-09,2.851376300263e-08,10.0078688309026
PGLYRP1,1.1168889500103,10.8155395304541,6.10756115152106,6.98817349354254e-09,3.15466117708492e-08,9.88205300928247
TCN1,0.909310971981574,9.77178654148145,5.99937525602589,1.21110381533774e-08,5.31540007842676e-08,9.35037431539096
OLR1,0.917304568080067,6.98841185252835,5.92175661397696,1.7904343746793e-08,7.64563868106297e-08,8.97265428812619
LMO2,0.526834978727943,11.3015240984392,5.90830005127497,1.91539120765824e-08,7.96399502131584e-08,8.90749192331194
ZNF362,-0.319228073945246,9.75574647009913,-5.86602493995754,2.36614840247332e-08,9.58593455360985e-08,8.7034030368922
HIST1H2AC,0.542873271411732,11.8817249187105,5.78853609318905,3.47728811646086e-08,1.37352880600204e-07,8.33180041701946
GHDC,-0.305678732233635,9.17618528062422,-5.72654516589641,4.72083980019592e-08,1.8192504595877e-07,8.03686430151159
TRIM38,0.397961992882992,11.1678712893318,5.70598094846409,5.2224147163168e-08,1.96462267899537e-07,7.93949090722379
PABPN1,-0.226435548379568,10.8410556650075,-5.68579746750941,5.76523081648097e-08,2.11838713721859e-07,7.84414749108297
ELANE,1.29533127660437,9.56802456257611,5.66420984076387,6.40686079791794e-08,2.30064546834326e-07,7.74242124871669
BRD9,-0.183019522101383,8.15190582887168,-5.63269753659905,7.47047783039038e-08,2.62296777155929e-07,7.59439393204498
STRN,0.202924158646556,7.74078940758341,5.32208417878374,3.29744722734233e-07,1.13260143895671e-06,6.16566170914671
ZBTB44,0.501588138429048,8.8644341509395,5.29661850059622,3.71536437806248e-07,1.24899483347632e-06,6.05103143373321
TTLL1,-0.21835486497701,7.26074871984202,-5.28616645781664,3.90144035132642e-07,1.28422411564495e-06,6.00409531952426
BANF1,-0.30369794425536,10.0949844886016,-5.25291138295104,4.55585558230955e-07,1.46903098368349e-06,5.85519635294562
GGA2,-0.375406477692187,10.0067918083533,-5.20597896207143,5.66422032614985e-07,1.78989362306335e-06,5.64619482181539
XRCC5,-0.219392699805112,10.592073665984,-5.14093136956474,7.64345808039358e-07,2.36797328765135e-06,5.35874370382321
MLST8,-0.179287265701015,8.44183940273708,-4.99318418839429,1.49576586422472e-06,4.5448270489905e-06,4.71558007792519
VNN2,0.589076887555576,12.8006126270734,4.89672132734516,2.30221250782731e-06,6.86319955163614e-06,4.30310336626614
MAPK1,0.291256338554425,10.4661369270981,4.89049737237014,2.36670601559735e-06,6.92480649008115e-06,4.27669449595328
ASXL1,-0.224726958040439,9.1302862624104,-4.77857415153635,3.8738278312004e-06,1.09709389298901e-05,3.80608507007453
AZU1,0.817463439293343,7.6167662444944,4.77771245198286,3.88843405110029e-06,1.09709389298901e-05,3.8024936001236
INTS7,0.283710504307065,7.43135898501402,4.70987929826081,5.22156662382716e-06,1.44738162555209e-05,3.52131117884204
DIS3L,-0.317978269258111,9.98321631476392,-4.67086521794184,6.17820880336462e-06,1.68302929470967e-05,3.36097475386334
API5,-0.300109078304855,10.4543965596816,-4.63359028956716,7.24893488017758e-06,1.94124018825094e-05,3.20873821773537
YY1,0.338211053577906,11.08695001823,4.46160196023162,1.49796851974687e-05,3.94465043533342e-05,2.51853345936018
ARHGAP15,-0.192779082190946,12.4535880975333,-4.38901164411763,2.02315168205868e-05,5.24029452074215e-05,2.23334405247683
ARPC1B,0.269298364825166,12.1777208027935,4.32596805476896,2.61912109399758e-05,6.67453440083254e-05,1.98865863932113
