,logFC,AveExpr,t,P.Value,adj.P.Val,B
NUP93,0.150883317437182,4.6268471,2.7689482225095,0.00644366796851507,0.869366059480516,-2.59502964054116
FTL,-0.145696808515385,12.9663483550382,-2.76567535239077,0.00650500392428823,0.869366059480516,-2.60094789261669
GSTM1,-0.180757290260836,4.65963467236641,-2.76508441810221,0.00651613490955117,0.869366059480516,-2.60201582743175
SUMF1,0.158778743071205,4.75013104659542,2.76181099215579,0.00657810843698475,0.869366059480516,-2.6079280209985
NARS,0.263340782493325,6.50538130065649,2.74903509663977,0.00682514871686422,0.89101484163453,-2.63094547791923
ACP1,-0.372689562862474,8.88025694623664,-2.73755337100209,0.00705432723266338,0.893706532983816,-2.65155333921085
LOC644863,-0.284715385741072,8.04025838312214,-2.73685976423282,0.00706839317402533,0.893706532983816,-2.65279588476116
KHSRP,0.192291785261537,4.93056904566412,2.72740787820578,0.00726262713512428,0.893706532983816,-2.66970132570249
LOC440093,-0.337892193057813,7.27269682243511,-2.71971732033228,0.00742422705842497,0.893706532983816,-2.68341944879803
LOC285053,-0.351492368209373,10.6284472013359,-2.71673647365204,0.00748773524925929,0.893706532983816,-2.68872762092179
PARP8,-0.253659476447813,5.69239567501527,-2.71493358936532,0.00752638520892758,0.893706532983816,-2.69193569710431
PPP1R11,-0.297877990563501,6.59029341512977,-2.70774655230534,0.00768226466083576,0.893706532983816,-2.70470620605066
SSR2,-0.313645524635181,6.26609518370229,-2.70384426373863,0.00776812188458996,0.893706532983816,-2.71162790976298
LOC92755,-0.162853240078474,4.86994105973282,-2.70281571767108,0.00779089606728743,0.893706532983816,-2.71345086787506
LOC644844,0.109778092965673,4.55432246846565,2.68445366454109,0.00820778401370903,0.893706532983816,-2.74589454815001
YWHAG,0.130760961605914,4.98457241191603,2.67894215986533,0.00833679880057143,0.893706532983816,-2.75559554199627
UQCRB,-0.157117613783003,5.52936183538931,-2.67603528264403,0.00840558037908159,0.893706532983816,-2.76070510782681
LOC642817,-0.319115922230473,6.67109086736641,-2.67455108006467,0.00844089671686202,0.893706532983816,-2.76331211915645
SEC61A1,0.200281431916053,5.65870259377099,2.67404235064017,0.00845303269840268,0.893706532983816,-2.76420541824253
IMPDH1,-0.178263037079787,5.45544765161069,-2.67280245362244,0.0084826771697242,0.893706532983816,-2.76638199010273
MAD2L1,-0.159240151651276,4.60209073794656,-2.67276326900878,0.00848361555848206,0.893706532983816,-2.76645076235168
SOX8,0.212464281934484,4.86208292268702,2.67272211682921,0.00848460116737441,0.893706532983816,-2.7665229869046
CXCR4,-0.454034392861773,5.67150776682443,-2.67057280016991,0.00853622223258003,0.893706532983816,-2.77029383182729
ATP5J,-0.218376099497993,7.79952866322901,-2.67054660483002,0.0085368531255703,0.893706532983816,-2.77033977378841
GRINA,-0.352882352297061,7.90442628707634,-2.6654045412462,0.00866151512271263,0.893706532983816,-2.77935049665186
LOC340113,0.152848726147731,4.5785515759542,2.65913523147968,0.00881573085625415,0.893706532983816,-2.79031624256732
LOC642740,0.157817221906875,4.57703835699237,2.6581698985241,0.00883969583265246,0.893706532983816,-2.79200273698331
FGFBP2,-0.538865084231404,5.41390650862595,-2.65628349969031,0.00888669682044364,0.893706532983816,-2.79529685938414
LOC402175,-0.253716168288064,7.28136846778626,-2.64358871159898,0.00920891313156892,0.893706532983816,-2.81741245945733
SH3BGRL3,-0.304683617395535,8.77910359262595,-2.64258616105799,0.00923480360552251,0.893706532983816,-2.81915509333938
RAB40B,0.112779482897193,4.54813882257252,2.63913733159291,0.00932437083763893,0.893706532983816,-2.82514547508485
LOC650128,0.180088621787608,4.75638487368702,2.63712902480143,0.00937688769058006,0.893706532983816,-2.82863064245143
GNG10,-0.340934009121531,6.57977213616794,-2.63675995221902,0.00938656785224242,0.893706532983816,-2.82927087190661
LOC654121,-0.224293644944643,5.72423582690076,-2.6348211657059,0.0094375672632761,0.893706532983816,-2.83263280451681
LOC100134304,-0.11954651290354,4.70119936792366,-2.63168324143021,0.00952063969623875,0.893706532983816,-2.83806954383142
LOC652489,-0.275676372614417,5.78532562225954,-2.63022954907067,0.00955934739223151,0.893706532983816,-2.84058629280643
PDCL,0.0971900689961921,4.53810851580153,2.62491748918113,0.00970200235724799,0.893706532983816,-2.84977269309532
MAPK3,-0.192355974198828,5.6751108789771,-2.62237320667443,0.00977100633574075,0.893706532983816,-2.8541669314004
LOC643590,0.260909360753228,4.84012367132061,2.62212677391598,0.00977771333169788,0.893706532983816,-2.85459234959422
SRGN,-0.46578067029503,10.4735895319008,-2.61388352427472,0.0100044692515091,0.893706532983816,-2.86880269822872
STAT2,0.339870126878226,6.67682568417557,2.61229471094187,0.0100487151742849,0.893706532983816,-2.87153714637149
LOC643668,-0.169881872642111,5.0570722709542,-2.60635819866009,0.010215601614591,0.893706532983816,-2.88174146309718
SPG21,-0.227525567481461,4.99323633636641,-2.60553418863902,0.0102389622754409,0.893706532983816,-2.88315626393674
RPS25,-0.156800205688487,12.2432021212977,-2.60211127200497,0.010336517603752,0.893706532983816,-2.88902914266714
NAMPT,-0.536490797225694,6.67662786547328,-2.59734494384214,0.0104737547906763,0.893706532983816,-2.89719578693688
RARS2,-0.131313092483927,4.83884324050382,-2.59589362391442,0.0105158671829312,0.893706532983816,-2.89967989405401
ATP6V0D1,-0.222393819004928,6.29524408370992,-2.59320810347348,0.0105941938813712,0.893706532983816,-2.90427329259894
KIAA1267,0.133139508876447,5.97803447744275,2.59182191820447,0.0106348288096653,0.893706532983816,-2.90664264634778
TAGLN2,-0.303825869299914,7.78085496061069,-2.59171428629655,0.0106379898122358,0.893706532983816,-2.90682657128398
PRDX2,-0.47121621267047,10.490706099687,-2.591370112244,0.0106481034084859,0.893706532983816,-2.90741466252267
C10orf78,-0.162770445505897,4.75126233467176,-2.58763970881253,0.010758277943828,0.893706532983816,-2.91378444608647
PRB3,0.146039947930849,4.56495576025954,2.58422547002509,0.0108600121577099,0.893706532983816,-2.91960735559313
UBE4A,0.212435948068546,5.04587111758015,2.58022455939513,0.0109803274852323,0.893706532983816,-2.92642228713202
TFPT,0.117285796136708,4.62046217764885,2.57936606973985,0.0110062995664845,0.893706532983816,-2.92788339073911
ALPI,0.136616792743558,4.60947969814504,2.57641569807709,0.0110959792736234,0.893706532983816,-2.93290153068025
USP10,-0.474624966308018,6.35595813292366,-2.57616924440937,0.0111035001295514,0.893706532983816,-2.93332048455113
SRP14,-0.193146214796587,7.26825903542748,-2.57277007766077,0.0112076984053891,0.895361279326044,-2.93909525887353
PHF16,0.126283526553073,4.65438316896947,2.56354958455885,0.011494780994513,0.90496605503798,-2.9547262234131
