"x"
"SEPT12"
"SEPT4"
"A1BG"
"ABCA9"
"ABCC3"
"ABCC6"
"ABCG4"
"ABHD12"
"ABHD4"
"ABL1"
"ACADS"
"ACHE"
"ACPT"
"ACTRT1"
"ADAM33"
"ADAM9"
"ADAMTSL4"
"ADAMTSL5"
"ADARB1"
"ADH5"
"ADH6"
"ADHFE1"
"ADPRHL2"
"ADRA1B"
"ADRA2A"
"AGER"
"AGRN"
"AIG1"
"AK3L1"
"AKR1C4"
"ALDOC"
"ALG12"
"ALG9"
"ALKBH1"
"ALKBH2"
"ALOX15"
"ALPI"
"ALPPL2"
"AMAC1L3"
"AMACR"
"ANAPC11"
"ANGEL1"
"ANK3"
"ANKHD1"
"ANKMY1"
"ANKRD13D"
"ANKRD6"
"ANKZF1"
"ANP32A"
"ANP32B"
"ANTXR1"
"AOC2"
"AP2A2"
"APAF1"
"APBB3"
"APCDD1L"
"APCS"
"APOC1"
"APP"
"APTX"
"AQP1"
"AQR"
"ARAF"
"ARAP2"
"ARFGAP2"
"ARFIP2"
"ARHGAP5"
"ARHGEF9"
"ARL17P1"
"ARL4D"
"ARMC6"
"ARRB1"
"ARSA"
"ARSD"
"ARSG"
"ASCL2"
"ASH1L"
"ASTN1"
"ATF1"
"ATF7IP"
"ATG16L1"
"ATP1A3"
"ATP6V0D2"
"ATPBD4"
"ATXN1"
"ATXN10"
"ATXN7L3"
"B3GALNT1"
"B3GNT1"
"B4GALT2"
"BAALC"
"BACE2"
"BAIAP2"
"BAP1"
"BAT5"
"BBS1"
"BCAT2"
"BCHE"
"BCL9L"
"BLVRB"
"BMX"
"BRCA1"
"BRD1"
"BRD2"
"BSCL2"
"BTBD2"
"C10orf118"
"C10orf12"
"C10orf28"
"C10orf61"
"C10orf64"
"C10orf85"
"C10orf92"
"C11orf24"
"C11orf53"
"C11orf84"
"C12orf30"
"C12orf45"
"C12orf68"
"C12orf77"
"C13orf1"
"C14orf121"
"C14orf143"
"C14orf162"
"C16orf13"
"C16orf48"
"C17orf63"
"C17orf74"
"C17orf76"
"C17orf87"
"C17orf93"
"C18orf54"
"C19orf21"
"C19orf23"
"C19orf29"
"C1orf151"
"C1orf198"
"C1orf200"
"C1orf216"
"C1orf222"
"C1orf54"
"C1orf69"
"C1orf83"
"C1orf91"
"C1orf97"
"C1QTNF1"
"C20orf107"
"C20orf191"
"C20orf55"
"C20orf62"
"C20orf71"
"C21orf128"
"C21orf30"
"C21orf37"
"C21orf91"
"C22orf40"
"C22orf9"
"C2orf21"
"C2orf43"
"C3orf20"
"C3orf26"
"C3orf36"
"C3orf63"
"C3orf67"
"C5orf30"
"C5orf62"
"C6orf138"
"C6orf165"
"C6orf176"
"C6orf218"
"C6orf25"
"C6orf66"
"C7orf11"
"C7orf29"
"C7orf64"
"C9orf156"
"C9orf167"
"C9orf24"
"C9orf25"
"C9orf30"
"C9orf6"
"C9orf62"
"C9orf66"
"C9orf75"
"CA6"
"CABP5"
"CACNA1H"
"CADPS2"
"CALB2"
"CALCOCO2"
"CALHM2"
"CAMK2B"
"CAMK2G"
"CASP10"
"CASP3"
"CASP6"
"CAV1"
"CBS"
"CBX3"
"CC2D1A"
"CCDC28B"
"CCDC33"
"CCDC51"
"CCDC60"
"CCDC61"
"CCL15"
"CCL26"
"CCL3L1"
"CCNT2"
"CD1C"
"CD22"
"CD34"
"CD38"
"CD79A"
"CDC14B"
"CDC25C"
"CDC2L1"
"CDC42EP1"
"CDCA4"
"CDCA8"
"CDH24"
"CDIPT"
"CDK5"
"CDO1"
"CDYL2"
"CEACAM21"
"CEACAM4"
"CES8"
"CETN1"
"CFHR2"
"CGB1"
"CGB8"
"CHCHD9"
"CHD3"
"CHD4"
"CHD6"
"CHKA"
"CHRNE"
"CHST1"
"CHTF8"
"CIAPIN1"
"CIDEA"
"CIDECP"
"CISH"
"CLDND2"
"CLEC10A"
"CLEC11A"
"CLEC4E"
"CLOCK"
"CLTCL1"
"CMA1"
"CNIH2"
"CNKSR1"
"CNKSR3"
"COL11A2"
"COL8A2"
"COMMD5"
"COPS3"
"COPS7B"
"COQ3"
"COQ6"
"COX7B"
"CPEB2"
"CPLX2"
"CPXM2"
"CRAT"
"CREB3L2"
"CRHR1"
"CRLF1"
"CRLF2"
"CRYAA"
"CRYGA"
"CRYM"
"CSF2RB"
"CSMD1"
"CSMD2"
"CSNK2A1"
"CSPP1"
"CTDSPL2"
"CTGLF1"
"CTGLF7"
"CTSF"
"CXCR5"
"CXorf36"
"CXorf48"
"CXXC1"
"CYB561"
"CYLD"
"CYP11A1"
"CYP2C8"
"CYP2D7P1"
"DBNDD1"
"DCLK1"
"DCP1B"
"DCPS"
"DCX"
"DDR1"
"DDX11"
"DDX12"
"DDX27"
"DEFB123"
"DERL2"
"DFFA"
"DGAT1"
"DGCR14"
"DHDDS"
"DHRS11"
"DHRS7B"
"DHRS8"
"DHX34"
"DHX38"
"DIP2A"
"DIRAS2"
"DIXDC1"
"DKFZp564N2472"
"DKFZp686I15217"
"DKFZp686J0529"
"DKFZp686K1684"
"DKFZp761E198"
"DKFZp761P0423"
"DKFZP779L1853"
"DKFZp779M0652"
"DLEU7"
"DLK2"
"DLX4"
"DNA2"
"DNAJB2"
"DNAJB4"
"DNAJC12"
"DNAJC13"
"DNAJC18"
"DNMT3B"
"DOCK3"
"DOCK7"
"DPCR1"
"DPF2"
"DPP3"
"DPP4"
"DPPA3"
"DPY19L1"
"DSC3"
"DSCR10"
"DSN1"
"DSTYK"
"DTD1"
"DUSP13"
"DUSP16"
"DUX3"
"DYDC2"
"DZIP1L"
"EDARADD"
"EDEM3"
"EFNA4"
"EGFR"
"EGR3"
"EIF2C1"
"EIF3IP1"
"EIF4EBP2"
"EIF4EBP3"
"EIF5B"
"ELMO2"
"ELMO3"
"ELOVL1"
"ELOVL3"
"ELOVL4"
"EML2"
"EMX2OS"
"ENTPD5"
"EPHA1"
"EPHA10"
"EPHA8"
"EPS8L2"
"EPS8L3"
"ERAP1"
"ERBB2IP"
"ERCC-00060"
"ERCC-00171"
"ERCC2"
"ERI3"
"ERO1LB"
"ESPN"
"ESRRAP2"
"ETV3"
"EXOC5"
"EXT2"
