,logFC,AveExpr,t,P.Value,adj.P.Val,B
TRIM38,0.371322526017334,11.0739937286045,6.65828782882212,1.4578476911904e-10,2.30339935208083e-08,13.660051034637
CSTB,-0.265773597252949,12.9463292826635,-5.79871629375883,1.79935282232326e-08,1.42148872963538e-06,9.06441479433495
GRWD1,-0.305752915993002,9.10902799574541,-5.60979637195529,4.85908178962112e-08,2.55911640920045e-06,8.11995845661358
BANF1,-0.225178081823574,10.1315034906473,-5.33040304233544,2.01834818065103e-07,7.97247531357156e-06,6.76899633261133
PABPN1,-0.166608225533845,10.867509450235,-5.06129216925341,7.55041338546039e-07,2.38593062980548e-05,5.52092659493056
PARP1,-0.293396405490688,11.734191668583,-4.69904038123479,4.10202653556181e-06,0.000108020032103128,3.92612025216779
FCRLA,-0.475559354150625,11.3315786749468,-4.63349894371669,5.51371122753311e-06,0.000124452339135747,3.64828435900659
SP110,0.262986284909331,11.9240107984968,4.55750635774749,7.73754915384933e-06,0.000152816595788524,3.33032408624934
API5,-0.212108848890228,10.4842018840828,-4.38120397747839,1.66969230412599e-05,0.000293123760057673,2.61012201421627
ARHGAP15,-0.154031139164291,12.4834655562534,-4.31464212922836,2.21842533526104e-05,0.000350511202971245,2.34462672189288
IFITM3,0.401846801508307,14.9874316163038,4.0961770654503,5.50237211263159e-05,0.0007436238579169,1.49829395173968
SEC61A1,-0.152482990104656,11.64992870067,-4.08976819941457,5.64777613607772e-05,0.0007436238579169,1.47405117571718
TUBB1,0.42468897313535,12.1173326969729,3.76228368862029,0.000205033111797446,0.0024919408972305,0.28039871794528
LMO2,0.291263090190835,11.2981447393135,3.73195507720855,0.000230034643642729,0.00258164993501805,0.174378008633102
DEFA1,0.638957100480509,13.946667325052,3.69898270799489,0.000260466776933675,0.00258164993501805,0.0599950326888932
CCDC6,-0.148108407635895,10.8660946763849,-3.69799658054249,0.000261432904811955,0.00258164993501805,0.0565882389395629
KLF12,-0.292186621841702,8.70018040595334,-3.67042901845703,0.000289848914260792,0.00269388990901207,-0.0383171036241041
ZBTB44,0.276702175016649,8.86158074190721,3.63504880648457,0.00033059077223613,0.0029018523340727,-0.159175288814221
ICOS,-0.325520186381862,9.31081589370517,-3.55303244230009,0.000446685438190679,0.00371454206495407,-0.435247832068727
MYB,-0.235777742650476,8.93416716772136,-3.50211873295104,0.000536965163188166,0.00424202478918651,-0.603736500830853
DEFA3,0.704531185862365,13.2109840961953,3.48148824451705,0.000578199908297761,0.00432027079802457,-0.671376141571327
